"campaignid","opcode","family","genus","species","length_mm","number","range","rms","precision","code"
"2022-05_PtCloates_stereo-BRUVS",1,"Balistidae","Abalistes","filamentosus",336.77888,1,3775.30808,11.10507,21.13063,37465089
"2022-05_PtCloates_stereo-BRUVS",1,"Balistidae","Abalistes","filamentosus",324.90775,1,3918.72008,14.14936,9.07687,37465089
"2022-05_PtCloates_stereo-BRUVS",1,"Balistidae","Abalistes","filamentosus",281.17035,1,2559.81966,7.13303,5.16125,37465089
"2022-05_PtCloates_stereo-BRUVS",1,"Carangidae","Decapterus","spp",310.83692,1,3356.76229,16.3268,13.59407,NA
"2022-05_PtCloates_stereo-BRUVS",1,"Carangidae","Decapterus","spp",336.70146,1,3562.62956,15.62525,18.2343,NA
"2022-05_PtCloates_stereo-BRUVS",1,"Carangidae","Decapterus","spp",303.81976,1,3514.67114,11.23263,16.2217,NA
"2022-05_PtCloates_stereo-BRUVS",1,"Carangidae","Decapterus","spp",366.66157,1,2439.05404,19.20353,9.36973,NA
"2022-05_PtCloates_stereo-BRUVS",1,"Carangidae","Turrum","fulvoguttatum",350.99534,1,2616.54139,9.52754,3.01184,37337037
"2022-05_PtCloates_stereo-BRUVS",1,"Carangidae","Turrum","fulvoguttatum",324.59851,1,2894.18358,11.20494,8.36003,37337037
"2022-05_PtCloates_stereo-BRUVS",1,"Carangidae","Turrum","fulvoguttatum",261.57549,1,3112.9045,11.27873,15.06749,37337037
"2022-05_PtCloates_stereo-BRUVS",1,"Carangidae","Turrum","fulvoguttatum",347.60589,1,2325.4831,7.4534,3.61141,37337037
"2022-05_PtCloates_stereo-BRUVS",1,"Carangidae","Turrum","fulvoguttatum",295.69017,1,3270.08393,11.27551,16.01768,37337037
"2022-05_PtCloates_stereo-BRUVS",1,"Carangidae","Turrum","fulvoguttatum",351.62939,1,3422.69992,12.15468,7.40392,37337037
"2022-05_PtCloates_stereo-BRUVS",1,"Carangidae","Turrum","fulvoguttatum",282.48108,1,3335.80964,10.50106,11.30952,37337037
"2022-05_PtCloates_stereo-BRUVS",1,"Carangidae","Turrum","fulvoguttatum",297.90584,1,3368.82388,7.75805,13.25003,37337037
"2022-05_PtCloates_stereo-BRUVS",1,"Carangidae","Turrum","fulvoguttatum",475.65479,1,4932.96608,16.28079,38.0584,37337037
"2022-05_PtCloates_stereo-BRUVS",1,"Carangidae","Turrum","fulvoguttatum",356.53208,1,3368.7736,13.93153,19.075,37337037
"2022-05_PtCloates_stereo-BRUVS",1,"Carangidae","Turrum","fulvoguttatum",334.88778,1,3535.60763,15.63539,17.73379,37337037
"2022-05_PtCloates_stereo-BRUVS",1,"Carangidae","Turrum","fulvoguttatum",712.5285,1,4366.08316,7.96919,9.95133,37337037
"2022-05_PtCloates_stereo-BRUVS",1,"Carangidae","Turrum","fulvoguttatum",328.80165,1,3261.94026,10.94781,14.89458,37337037
"2022-05_PtCloates_stereo-BRUVS",1,"Carangidae","Turrum","fulvoguttatum",209.59568,1,3404.39171,19.07874,16.87029,37337037
"2022-05_PtCloates_stereo-BRUVS",1,"Carangidae","Turrum","fulvoguttatum",332.75424,1,4794.12507,11.54739,31.0622,37337037
"2022-05_PtCloates_stereo-BRUVS",1,"Carangidae","Turrum","fulvoguttatum",348.73368,1,3242.52149,11.76202,16.99742,37337037
"2022-05_PtCloates_stereo-BRUVS",1,"Carangidae","Turrum","fulvoguttatum",309.3164,1,4989.21086,12.29514,11.22844,37337037
"2022-05_PtCloates_stereo-BRUVS",1,"Carangidae","Turrum","fulvoguttatum",328.26841,1,2911.2533,7.29097,2.89442,37337037
"2022-05_PtCloates_stereo-BRUVS",1,"Lethrinidae","Gymnocranius","sp1",390.44193,1,2611.60813,5.9891,5.64354,NA
"2022-05_PtCloates_stereo-BRUVS",1,"Lethrinidae","Gymnocranius","sp1",345.94245,1,2244.82607,3.1992,3.19478,NA
"2022-05_PtCloates_stereo-BRUVS",1,"Lethrinidae","Lethrinus","rubrioperculatus",377.34547,1,1541.61603,7.31963,2.70696,37351012
"2022-05_PtCloates_stereo-BRUVS",1,"Lutjanidae","Pristipomoides","sp1",441.82466,1,2784.243,6.5409,3.68519,NA
"2022-05_PtCloates_stereo-BRUVS",1,"Lutjanidae","Pristipomoides","sp1",409.91824,1,3033.68227,5.6582,8.34403,NA
"2022-05_PtCloates_stereo-BRUVS",1,"Lutjanidae","Pristipomoides","sp1",507.39771,1,1539.29386,5.92428,3.23429,NA
"2022-05_PtCloates_stereo-BRUVS",1,"Lutjanidae","Pristipomoides","sp1",424.64357,1,1407.04012,8.36072,1.8159,NA
"2022-05_PtCloates_stereo-BRUVS",1,"Lutjanidae","Pristipomoides","sp1",530.72123,1,2423.19345,2.27968,5.00104,NA
"2022-05_PtCloates_stereo-BRUVS",1,"Lutjanidae","Pristipomoides","sp1",471.36595,1,2772.46354,6.19448,10.52103,NA
"2022-05_PtCloates_stereo-BRUVS",1,"Lutjanidae","Pristipomoides","sp1",467.8266,1,1447.76387,1.84392,1.58179,NA
"2022-05_PtCloates_stereo-BRUVS",1,"Lutjanidae","Pristipomoides","sp1",379.8319,1,3552.5471,8.75119,12.1332,NA
"2022-05_PtCloates_stereo-BRUVS",1,"Lutjanidae","Pristipomoides","sp1",530.49423,1,1628.2675,1.06279,3.72522,NA
"2022-05_PtCloates_stereo-BRUVS",1,"Sparidae","Argyrops","spinifer",301.05111,1,4014.82973,2.93177,3.93613,37353006
"2022-05_PtCloates_stereo-BRUVS",1,"Sparidae","Argyrops","spinifer",305.35786,1,1182.63246,2.53394,1.18101,37353006
"2022-05_PtCloates_stereo-BRUVS",1,"Sparidae","Argyrops","spinifer",301.30584,1,1655.19508,2.47647,2.26226,37353006
"2022-05_PtCloates_stereo-BRUVS",1,"Sus","Sus","sus",40.15069,1,1681.52215,2.7567,1.55332,2
"2022-05_PtCloates_stereo-BRUVS",1,"Sus","Sus","sus",33.44405,1,1475.90511,3.07892,1.30914,2
"2022-05_PtCloates_stereo-BRUVS",11,"Carangidae","Turrum","gymnostethus",547.62818,1,4205.40591,2.88997,16.55531,37337022
"2022-05_PtCloates_stereo-BRUVS",11,"Carangidae","Turrum","gymnostethus",NA,1,7438.73108,3.18914,NA,37337022
"2022-05_PtCloates_stereo-BRUVS",11,"Carcharhinidae","Carcharhinus","albimarginatus",696.33908,1,1346.41384,3.22374,1.52152,37018027
"2022-05_PtCloates_stereo-BRUVS",11,"Lethrinidae","Gymnocranius","sp1",419.82788,1,1922.82977,0.47521,2.87986,NA
"2022-05_PtCloates_stereo-BRUVS",11,"Lethrinidae","Gymnocranius","sp1",465.3021,1,1547.33627,0.99993,2.15416,NA
"2022-05_PtCloates_stereo-BRUVS",11,"Lethrinidae","Gymnocranius","sp1",501.22545,1,2286.50039,0.72598,7.35801,NA
"2022-05_PtCloates_stereo-BRUVS",11,"Lethrinidae","Gymnocranius","sp1",443.15757,1,1224.81637,0.75193,1.50608,NA
"2022-05_PtCloates_stereo-BRUVS",11,"Lethrinidae","Gymnocranius","sp1",444.56196,1,1970.78514,1.03058,4.01819,NA
"2022-05_PtCloates_stereo-BRUVS",11,"Lethrinidae","Gymnocranius","sp1",NA,1,1145.85362,0.12326,NA,NA
"2022-05_PtCloates_stereo-BRUVS",11,"Lethrinidae","Lethrinus","miniatus",512.34147,1,1343.11051,2.45107,1.47509,37351009
"2022-05_PtCloates_stereo-BRUVS",11,"Lethrinidae","Lethrinus","miniatus",485.602,1,755.4931,2.41543,0.6975,37351009
"2022-05_PtCloates_stereo-BRUVS",11,"Lethrinidae","Lethrinus","miniatus",455.01629,1,1321.38164,0.91926,1.37708,37351009
"2022-05_PtCloates_stereo-BRUVS",11,"Lethrinidae","Lethrinus","nebulosus",501.69436,1,1416.62046,6.06569,1.31005,37351008
"2022-05_PtCloates_stereo-BRUVS",11,"Lethrinidae","Lethrinus","rubrioperculatus",368.31117,1,1341.28498,3.34085,2.42603,37351012
"2022-05_PtCloates_stereo-BRUVS",11,"Lethrinidae","Lethrinus","rubrioperculatus",370.52411,1,1659.30994,2.39598,2.25057,37351012
"2022-05_PtCloates_stereo-BRUVS",11,"Lethrinidae","Lethrinus","rubrioperculatus",355.98682,1,2515.66774,2.93412,4.81661,37351012
"2022-05_PtCloates_stereo-BRUVS",11,"Sparidae","Argyrops","spinifer",364.48806,1,3126.19272,8.31415,3.1378,37353006
"2022-05_PtCloates_stereo-BRUVS",11,"Sus","Sus","sus",NA,1,1775.59614,1.858,NA,2
"2022-05_PtCloates_stereo-BRUVS",11,"Sus","Sus","sus",NA,1,2585.7935,2.239,NA,2
"2022-05_PtCloates_stereo-BRUVS",12,"Balistidae","Abalistes","stellatus",413.35596,1,1259.42367,3.38007,1.99861,37465011
"2022-05_PtCloates_stereo-BRUVS",12,"Carangidae","Seriola","dumerili",872.04164,1,2480.6581,4.17636,4.21723,37337025
"2022-05_PtCloates_stereo-BRUVS",12,"Carangidae","Turrum","fulvoguttatum",491.68963,1,3350.48401,6.39696,7.26372,37337037
"2022-05_PtCloates_stereo-BRUVS",12,"Labridae","Suezichthys","cyanolaemus",90.9945,1,1131.69579,1.77591,1.17865,37384161
"2022-05_PtCloates_stereo-BRUVS",12,"Lethrinidae","Gymnocranius","euanus",404.3352,1,1325.1487,2.3499,1.3925,37351022
"2022-05_PtCloates_stereo-BRUVS",12,"Lethrinidae","Gymnocranius","sp1",258.06049,1,1793.22558,1.87665,2.51493,NA
"2022-05_PtCloates_stereo-BRUVS",12,"Lethrinidae","Lethrinus","rubrioperculatus",348.42587,1,1558.56225,2.9142,1.79289,37351012
"2022-05_PtCloates_stereo-BRUVS",12,"Lethrinidae","Lethrinus","rubrioperculatus",321.69885,1,1417.09847,2.15356,1.57252,37351012
"2022-05_PtCloates_stereo-BRUVS",12,"Lethrinidae","Lethrinus","rubrioperculatus",311.52993,1,1874.24068,3.51761,1.82784,37351012
"2022-05_PtCloates_stereo-BRUVS",12,"Lutjanidae","Lutjanus","sebae",643.23347,1,2219.0302,8.80567,3.90621,37346004
"2022-05_PtCloates_stereo-BRUVS",12,"Lutjanidae","Pristipomoides","sp1",397.14078,1,1650.19036,1.40284,1.71534,NA
"2022-05_PtCloates_stereo-BRUVS",12,"Lutjanidae","Pristipomoides","sp1",374.47934,1,1401.62056,3.48358,1.87166,NA
"2022-05_PtCloates_stereo-BRUVS",12,"Lutjanidae","Pristipomoides","sp1",421.12819,1,1715.59437,3.94869,2.43941,NA
"2022-05_PtCloates_stereo-BRUVS",12,"Lutjanidae","Pristipomoides","sp1",285.54086,1,1340.95662,5.2619,1.14109,NA
"2022-05_PtCloates_stereo-BRUVS",12,"Nemipteridae","Pentapodus","nagasakiensis",88.736,1,2686.61863,6.28588,6.83398,37347012
"2022-05_PtCloates_stereo-BRUVS",12,"Nemipteridae","Pentapodus","nagasakiensis",92.2479,1,1432.91012,1.12548,2.73825,37347012
"2022-05_PtCloates_stereo-BRUVS",12,"Nemipteridae","Pentapodus","nagasakiensis",88.68242,1,1594.55399,3.19074,3.80018,37347012
"2022-05_PtCloates_stereo-BRUVS",12,"Nemipteridae","Pentapodus","nagasakiensis",81.43988,1,1561.63491,3.26412,3.40187,37347012
"2022-05_PtCloates_stereo-BRUVS",12,"Nemipteridae","Pentapodus","nagasakiensis",105.55561,1,1217.30552,1.66973,2.04562,37347012
"2022-05_PtCloates_stereo-BRUVS",12,"Nemipteridae","Pentapodus","nagasakiensis",98.67774,1,1255.00571,2.53349,2.02535,37347012
"2022-05_PtCloates_stereo-BRUVS",12,"Nemipteridae","Pentapodus","nagasakiensis",99.40887,1,1348.26044,4.50503,1.51601,37347012
"2022-05_PtCloates_stereo-BRUVS",12,"Nemipteridae","Pentapodus","nagasakiensis",106.75419,1,1693.26562,3.83499,1.87451,37347012
"2022-05_PtCloates_stereo-BRUVS",12,"Pinguipedidae","Parapercis","nebulosa",62.44241,1,1502.07369,1.92572,2.09539,37390005
"2022-05_PtCloates_stereo-BRUVS",12,"Sparidae","Argyrops","spinifer",333.04842,1,2033.59164,3.94805,3.33382,37353006
"2022-05_PtCloates_stereo-BRUVS",12,"Sparidae","Argyrops","spinifer",346.84325,1,2096.47411,5.33047,2.46198,37353006
"2022-05_PtCloates_stereo-BRUVS",12,"Sus","Sus","sus",51.74645,1,2554.86299,5.44041,4.36532,2
"2022-05_PtCloates_stereo-BRUVS",12,"Sus","Sus","sus",NA,1,2528.1666,3.08339,NA,2
"2022-05_PtCloates_stereo-BRUVS",13,"Carangidae","Decapterus","spp",275.99595,1,4501.30811,5.84195,9.43377,NA
"2022-05_PtCloates_stereo-BRUVS",13,"Carangidae","Decapterus","spp",264.74397,1,4318.42428,2.35993,11.57743,NA
"2022-05_PtCloates_stereo-BRUVS",13,"Carangidae","Platycaranx","chrysophrys",280.98584,1,4367.96082,7.59801,21.55203,37337011
"2022-05_PtCloates_stereo-BRUVS",13,"Carangidae","Platycaranx","chrysophrys",NA,2,5594.091,5.67672,NA,37337011
"2022-05_PtCloates_stereo-BRUVS",13,"Carangidae","Platycaranx","chrysophrys",NA,1,5274.51365,4.42914,NA,37337011
"2022-05_PtCloates_stereo-BRUVS",13,"Carangidae","Platycaranx","chrysophrys",NA,1,5447.86835,4.96496,NA,37337011
"2022-05_PtCloates_stereo-BRUVS",13,"Carangidae","Platycaranx","chrysophrys",NA,1,5210.86003,4.65486,NA,37337011
"2022-05_PtCloates_stereo-BRUVS",13,"Cirrhitidae","Cirrhitichthys","aprinus",64.06294,1,2931.26006,0.68925,5.67242,37374001
"2022-05_PtCloates_stereo-BRUVS",13,"Cirrhitidae","Cirrhitichthys","aprinus",76.13706,1,2955.46183,3.67084,3.93439,37374001
"2022-05_PtCloates_stereo-BRUVS",13,"Haemulidae","Diagramma","pictum",557.69277,1,1492.78542,0.17771,1.60219,37350003
"2022-05_PtCloates_stereo-BRUVS",13,"Lethrinidae","Gymnocranius","euanus",428.42747,1,2727.93947,1.8074,6.36659,37351022
"2022-05_PtCloates_stereo-BRUVS",13,"Lethrinidae","Gymnocranius","sp1",322.47844,1,1498.78409,3.54425,3.46497,NA
"2022-05_PtCloates_stereo-BRUVS",13,"Lethrinidae","Gymnocranius","sp1",444.01166,1,1055.74604,0.89815,0.96958,NA
"2022-05_PtCloates_stereo-BRUVS",13,"Lethrinidae","Gymnocranius","sp1",342.60166,1,1488.7395,1.24933,1.25877,NA
"2022-05_PtCloates_stereo-BRUVS",13,"Lethrinidae","Gymnocranius","sp1",448.05557,1,1337.4006,0.67343,1.32605,NA
"2022-05_PtCloates_stereo-BRUVS",13,"Lethrinidae","Lethrinus","rubrioperculatus",363.47901,1,1757.4465,1.55006,2.71647,37351012
"2022-05_PtCloates_stereo-BRUVS",13,"Lutjanidae","Lutjanus","sebae",539.18936,1,2544.59019,0.09572,8.68487,37346004
"2022-05_PtCloates_stereo-BRUVS",13,"Lutjanidae","Pristipomoides","sp1",540.61213,1,2203.4091,1.50683,5.82425,NA
"2022-05_PtCloates_stereo-BRUVS",13,"Sparidae","Argyrops","spinifer",305.87431,1,1384.87124,1.58164,1.4459,37353006
"2022-05_PtCloates_stereo-BRUVS",14,"Carangidae","Platycaranx","chrysophrys",421.82888,1,4941.83236,5.02017,34.49787,37337011
"2022-05_PtCloates_stereo-BRUVS",14,"Echeneidae","Echeneis","naucrates",NA,1,1772.98963,1.89254,NA,37336001
"2022-05_PtCloates_stereo-BRUVS",14,"Lethrinidae","Gymnocranius","sp1",355.96249,1,1349.10242,1.37751,3.10301,NA
"2022-05_PtCloates_stereo-BRUVS",14,"Lethrinidae","Gymnocranius","sp1",372.29605,1,3564.83699,1.6028,3.55185,NA
"2022-05_PtCloates_stereo-BRUVS",14,"Lethrinidae","Lethrinus","rubrioperculatus",365.97876,1,1175.5576,4.17653,0.97149,37351012
"2022-05_PtCloates_stereo-BRUVS",14,"Lutjanidae","Pristipomoides","sp1",512.40176,1,4554.66961,9.24394,23.89415,NA
"2022-05_PtCloates_stereo-BRUVS",14,"Sparidae","Argyrops","spinifer",280.21911,1,3535.24536,11.90329,15.54449,37353006
"2022-05_PtCloates_stereo-BRUVS",15,"Carangidae","Gnathanodon","speciosus",574.2685,1,2579.7916,1.69441,10.55398,37337012
