"campaignid","sample","opcode","latitude_dd","longitude_dd","date_time","site","location","status","depth_m","successful_count","successful_length","observer_count","observer_length","inclusion_probability","visibility_m"
"2022-05_PtCloates_stereo-BRUVS","1",1,-22.7221,113.5447,"2022-05-22T10:03:24+08:00",NA,NA,"No-take",93.9,"Yes","Yes","Kaitlin McCloghry","Henry Evans",NA,NA
"2022-05_PtCloates_stereo-BRUVS","2",2,-22.6957,113.5628,"2022-05-22T14:16:25+08:00",NA,NA,"No-take",77.3,"Yes","Yes","Kaitlin McCloghry","Henry Evans",NA,NA
"2022-05_PtCloates_stereo-BRUVS","3",3,-22.7379,113.5515,"2022-05-20T14:34:36+08:00",NA,NA,"No-take",78.3,"Yes","Yes","Kaitlin McCloghry","Henry Evans",NA,NA
"2022-05_PtCloates_stereo-BRUVS","4",4,-22.7337,113.5555,"2022-05-20T14:40:43+08:00",NA,NA,"No-take",73.9,"Yes","Yes","Kaitlin McCloghry","Henry Evans",NA,NA
"2022-05_PtCloates_stereo-BRUVS","5",5,-22.7218,113.5506,"2022-05-22T08:50:54+08:00",NA,NA,"No-take",81.9,"Yes","Yes","Kaitlin McCloghry","Henry Evans",NA,NA
"2022-05_PtCloates_stereo-BRUVS","6",6,-22.7459,113.5531,"2022-05-20T12:30:12+08:00",NA,NA,"No-take",74.3,"Yes","Yes","Kaitlin McCloghry","Henry Evans",NA,NA
"2022-05_PtCloates_stereo-BRUVS","7",7,-22.7574,113.5382,"2022-05-20T09:36:32+08:00",NA,NA,"No-take",89.3,"Yes","Yes","Kaitlin McCloghry","Molly Gerrans/Kaitlin McCloghry",NA,NA
"2022-05_PtCloates_stereo-BRUVS","8",8,-22.7298,113.5538,"2022-05-22T08:12:35+08:00",NA,NA,"No-take",76.4,"Yes","Yes","Kaitlin McCloghry","Henry Evans",NA,NA
"2022-05_PtCloates_stereo-BRUVS","9",9,-22.6934,113.5571,"2022-05-22T14:27:15+08:00",NA,NA,"No-take",84.9,"Yes","Yes","Henry Evans","Kaitlin McCloghry",NA,NA
"2022-05_PtCloates_stereo-BRUVS","11",11,-22.7274,113.5498,"2022-05-22T08:18:17+08:00",NA,NA,"No-take",81,"Yes","Yes","Henry Evans","Kaitlin McCloghry",NA,NA
