OpCode	ImagePtPair	FilenameLeft	FrameLeft	FilenameRight	FrameRight	Time	Period	PeriodTime	X	Y	Z	sX	sY	sZ	RMS	Range	Direction	Family	Genus	Species	Code	Number	Stage	Activity	Comment	Attribute9	Attribute10
10	72	Left_MAH00355.MP4	65608	Right_MAH00344.MP4	64140	40.79909	1	15.42180	-430.67367	-140.98709	-868.53490	0.64880	0.46100	1.11439	0.67020	979.64791	27.65589	Labridae	Austrolabrus	maculatus	37384025	1	AD	Passing			
10	73	Left_MAH00355.MP4	74525	Right_MAH00344.MP4	73057	43.27851	1	17.90122	-278.33750	-257.03677	-762.92425	0.48001	0.47613	0.88751	0.47105	851.81752	26.62953	Urolophidae	Trygonoptera	ovalis	37038016	1	AD	Passing			
10	75	Left_MAH00356.MP4	21436	Right_MAH00345.MP4	20028	51.07269	1	25.69539	-997.34125	-186.86483	-1522.45323	1.91708	0.79836	3.13793	0.63932	1829.60976	33.74391	Labridae	Ophthalmolepis	lineolata	37384040	1	AD	Passing			
10	81	Left_MAH00356.MP4	33446	Right_MAH00345.MP4	32038	54.41214	1	29.03484	-187.93420	-238.33192	-730.30710	0.42177	0.44960	0.83996	0.10770	790.86651	22.82281	Trygonorrhinidae	Trygonorrhina	dumerilii	37027011	1	AD	Passing			
10	93	Left_MAH00357.MP4	46833	Right_MAH00346.MP4	45425	80.67393	1	55.29663	-119.39654	-232.48357	-915.79159	0.49715	0.55648	1.33213	0.34921	952.35412	16.21648	Heterodontidae	Heterodontus	portusjacksoni	37007001	1	AD	Passing			
12	0	L031_MAH01383.MP4	4785	R032_MAH00368.MP4	7493	23.88692	1	0.28890	12.56649	-157.53491	-712.51403	0.37741	0.39923	0.83332	0.24320	729.82971	12.68235	SUS	SUS	SUS	2	40	AD	Passing			
12	11	L031_MAH01384.MP4	12873	R032_MAH00369.MP4	15520	48.67502	1	25.07700	-367.17649	-164.36457	-995.22651	0.69918	0.54616	1.52089	0.33950	1073.45708	22.08229	Scyliorhinidae	Aulohalaelurus	labiosus	37015029	1	AD	Passing			
12	42	L031_MAH01385.MP4	42657	R032_MAH00370.MP4	45304	79.49608	1	55.89806	-447.33848	70.51190	-1625.15413	1.27985	0.81169	4.05889	1.04426	1687.07131	15.54428	Urolophidae	Trygonoptera	ovalis	37038016	1	AD	Passing			
14	75	L031_14_MAH01390.MP4	39229	R032_14_MAH00376.MP4	38464	33.44758	1	4.02319	-334.91631	-125.19804	-780.71547	0.52449	0.41071	0.91807	0.06724	858.69676	24.65260	Labridae	Austrolabrus	maculatus	37384025	1	AD	Passing			
14	77	L031_14_MAH01392.MP4	4830	R032_14_MAH00378.MP4	4065	68.96167	1	39.53728	-22.86632	-159.35293	-417.80087	0.21127	0.23579	0.27194	1.20903	447.74300	21.20103	Scorpididae	Neatypus	obliquus	37361002	1	AD	Passing			
14	102	L031_14_MAH01392.MP4	14476	R032_14_MAH00378.MP4	13711	71.64379	1	42.21940	-502.80157	-127.04667	-1343.49562	1.12596	0.69940	2.75840	0.30090	1440.11484	21.13932	Mullidae	Upeneichthys	vlamingii	37355029	1	AD	Passing			
15	1	Left_MAH00371.MP4	5024	Right_MAH00367.MP4	4028	23.95337	1	2.67684	37.84087	-348.71387	-1915.07454	0.95150	1.32926	5.57178	3.43345	1946.93189	10.79884	Odacidae	Siphonognathus	spp		1	AD	Passing			
15	4	Left_MAH00371.MP4	34690	Right_MAH00367.MP4	33694	32.20217	1	10.92564	22.11007	436.39303	-4543.47232	2.17092	3.77505	30.15048	0.43725	4564.43517	5.07183	Serranidae	Caesioperca	sp1		1	AD	Passing			
15	30	Left_MAH00372.MP4	25282	Right_MAH00368.MP4	24286	52.12541	1	30.84887	122.88176	-140.78429	-1449.77405	0.76734	0.76840	3.26772	0.24934	1461.76775	7.66766	Muraenidae	Gymnothorax	prasinus	37060006	1	AD	Passing			
15	107	Left_MAH00373.MP4	31902	Right_MAH00369.MP4	30906	76.50560	1	55.22906	341.33373	-193.67530	-741.92311	0.50562	0.43953	0.91528	0.57588	839.32636	28.08784	Urolophidae	Trygonoptera	ovalis	37038016	1	AD	Passing			
16	22	L039_MAH00357.MP4	54983	R040_MAH00364.MP4	52897	37.84475	1	19.08573	2408.60440	2026.85661	-6898.99744	22.83447	20.34886	67.34688	3.40299	7583.25052	24.26063	Carangidae				3	AD	Passing			
