Dot Point Measurements

Generated: Thursday 26 October 2023 09:18:19

Filename	Frame	Time (mins)	Image row	Image col	Date	Location	Site #	Transect #	Latitude	Longitude	Rugosity	Depth	Collector	Fishing status	campaignid	relief_annotated	OpCode	Period	Frame info 3	Frame info 4	Frame info 5	Frame info 6	level_2	level_3	level_4	level_5	scientific	qualifiers	CAAB_code		Radius %
10_1_DSC06511.JPG	      0		790	83											2023-03_SwC_stereo-BRUVs	no	10	1					Macroalgae	Filamentous / filiform	Red				80300933		67.0
10_1_DSC06511.JPG	      0		986	591											2023-03_SwC_stereo-BRUVs	no	10	1					Seagrasses	Strap-like leaves			Thalassodendron spp		63618905		24.7
10_1_DSC06511.JPG	      0		683	930											2023-03_SwC_stereo-BRUVs	no	10	1					Substrate	Unconsolidated (soft)	Sand / mud (<2mm)	Coarse sand (with shell fragments)			82001014		18.2
10_1_DSC06511.JPG	      0		778	1829											2023-03_SwC_stereo-BRUVs	no	10	1					Macroalgae	Erect coarse branching	Red				80300906		97.8
10_1_DSC06511.JPG	      0		976	1654											2023-03_SwC_stereo-BRUVs	no	10	1					Macroalgae	Erect coarse branching	Red				80300906		82.6
10_1_DSC06511.JPG	      0		1009	485											2023-03_SwC_stereo-BRUVs	no	10	1					Seagrasses	Strap-like leaves			Thalassodendron spp		63618905		34.1
10_1_DSC06511.JPG	      0		807	525											2023-03_SwC_stereo-BRUVs	no	10	1					Seagrasses	Strap-like leaves			Thalassodendron spp		63618905		25.2
10_1_DSC06511.JPG	      0		882	830											2023-03_SwC_stereo-BRUVs	no	10	1					Macroalgae	Erect coarse branching	Brown				80300904		6.9
10_1_DSC06511.JPG	      0		703	38											2023-03_SwC_stereo-BRUVs	no	10	1					Seagrasses	Strap-like leaves			Thalassodendron spp		63618905		72.0
10_1_DSC06511.JPG	      0		1068	769											2023-03_SwC_stereo-BRUVs	no	10	1					Macroalgae	Erect fine branching	Red				80300910		23.6
10_1_DSC06511.JPG	      0		725	1849											2023-03_SwC_stereo-BRUVs	no	10	1					Macroalgae	Erect coarse branching	Red				80300906		100.0
