OpCode	ImagePtPair	FilenameLeft	FrameLeft	FilenameRight	FrameRight	Time	Period	PeriodTime	Length	Precision	RMS	Range	Direction	HorzDir	VertDir	MidX	MidY	MidZ	Family	Genus	Species	Code	Number	Stage	Activity	Comment	Attribute9	Attribute10
10	0	Left_MAH00355.MP4	14919	Right_MAH00344.MP4	13451	26.70473	1	1.32744	102.10630	1.58238	0.71819	1371.14055	24.80040	1.44106	0.97067	572.01066	59.88007	-1244.68654	Labridae	Pseudolabrus	biserialis	37384149	1	AD	Passing			
10	1	Left_MAH00355.MP4	14947	Right_MAH00344.MP4	13479	26.71252	1	1.33522	115.19194	1.79020	0.84727	1673.97552	16.48912	5.79407	23.59431	459.18249	-122.06563	-1605.13098	Labridae	Pseudolabrus	biserialis	37384149	1	AD	Passing			
10	2	Left_MAH00355.MP4	15104	Right_MAH00344.MP4	13636	26.75617	1	1.37888	98.39907	1.87889	0.49645	1288.04170	5.44989	28.12685	5.99423	-73.63617	97.68725	-1282.21930	Labridae	Pseudolabrus	biserialis	37384149	1	AD	Passing			
10	3	Left_MAH00355.MP4	15127	Right_MAH00344.MP4	13659	26.76257	1	1.38527	135.28199	4.03739	0.91121	1976.06450	27.67058	27.38227	1.88024	915.73917	59.33488	-1750.06630	Labridae	Pseudolabrus	biserialis	37384149	1	AD	Passing			
10	4	Left_MAH00355.MP4	15163	Right_MAH00344.MP4	13695	26.77258	1	1.39528	134.73312	3.94127	0.99295	2045.11246	9.76363	24.86002	14.00695	342.44363	-54.91085	-2015.49055	Labridae	Pseudolabrus	biserialis	37384149	1	AD	Passing			
10	5	Left_MAH00355.MP4	15199	Right_MAH00344.MP4	13731	26.78259	1	1.40529	120.02666	1.05748	0.43460	967.72698	9.45130	24.03994	4.24421	-70.13174	142.59669	-954.59061	Labridae	Pseudolabrus	biserialis	37384149	1	AD	Passing			
10	6	Left_MAH00355.MP4	16019	Right_MAH00344.MP4	14551	27.01059	1	1.63330	112.76380	1.64793	0.19453	1722.80051	6.59748	9.73197	14.58632	145.63737	-134.04991	-1711.39182	Labridae	Pseudolabrus	biserialis	37384149	1	AD	Passing			
10	7	Left_MAH00355.MP4	16654	Right_MAH00344.MP4	15186	27.18716	1	1.80986	134.61322	11.37472	0.60120	4462.58567	14.92124	8.59371	11.75516	-1146.41475	-78.15716	-4312.11034	Labridae	Pseudolabrus	biserialis	37384149	1	AD	Passing			
10	8	Left_MAH00355.MP4	22465	Right_MAH00344.MP4	20997	28.80294	1	3.42564	86.76808	5.67899	2.20361	2137.70518	23.84065	47.60041	27.69603	-859.26904	-90.75468	-1955.30145	Labridae	Coris	auricularis	37384088	1	AD	Passing			
10	9	Left_MAH00355.MP4	22733	Right_MAH00344.MP4	21265	28.87746	1	3.50016	142.55446	1.74495	1.16771	1434.56399	12.26394	17.63588	12.84845	-296.10245	-71.97083	-1401.82645	Labridae	Coris	auricularis	37384088	1	AD	Passing			
10	10	Left_MAH00355.MP4	22764	Right_MAH00344.MP4	21296	28.88608	1	3.50878	101.45689	3.05421	1.97616	1601.41521	24.58905	35.01852	7.91118	-661.39741	-81.17497	-1456.19187	Labridae	Coris	auricularis	37384088	2	AD	Passing			
10	11	Left_MAH00355.MP4	22768	Right_MAH00344.MP4	21300	28.88719	1	3.50990	95.62135	1.47187	0.85759	1401.17923	6.03524	14.51016	4.18097	-133.32693	-62.66721	-1393.41307	Labridae	Coris	auricularis	37384088	2	AD	Passing			
10	12	Left_MAH00355.MP4	22800	Right_MAH00344.MP4	21332	28.89609	1	3.51879	95.55711	1.80039	1.38032	1438.69581	27.83171	23.10081	34.35913	-667.83079	-71.92498	-1272.27138	Labridae	Coris	auricularis	37384088	2	AD	Passing			
10	13	Left_MAH00355.MP4	22825	Right_MAH00344.MP4	21357	28.90304	1	3.52574	129.94103	1.22668	0.29495	1142.91197	5.54400	19.39846	13.98836	-105.19758	33.54661	-1137.56576	Labridae	Coris	auricularis	37384088	2	AD	Passing			
10	14	Left_MAH00355.MP4	22846	Right_MAH00344.MP4	21378	28.90888	1	3.53158	132.95068	1.72684	0.53122	1201.82078	15.90641	29.79177	3.50984	-316.67165	90.60728	-1155.80387	Labridae	Coris	auricularis	37384088	1	AD	Passing			
10	15	Left_MAH00355.MP4	22873	Right_MAH00344.MP4	21405	28.91639	1	3.53909	122.18671	6.20401	1.93098	1917.93477	17.63798	60.21668	12.08686	580.69405	-22.70056	-1827.77266	Labridae	Coris	auricularis	37384088	2	AD	Passing			
10	16	Left_MAH00355.MP4	22878	Right_MAH00344.MP4	21410	28.91778	1	3.54048	109.29858	1.37788	0.93129	1352.29384	25.67528	3.39517	33.66387	559.31080	174.52895	-1218.77385	Labridae	Coris	auricularis	37384088	1	AD	Passing			
10	17	Left_MAH00355.MP4	22886	Right_MAH00344.MP4	21418	28.92000	1	3.54271	136.57523	3.15037	0.68247	1908.82274	27.60295	13.03893	1.98285	-877.37568	-111.53935	-1691.55998	Labridae	Coris	auricularis	37384088	1	AD	Passing			
10	18	Left_MAH00355.MP4	22886	Right_MAH00344.MP4	21418	28.92000	1	3.54271	102.04298	1.02712	1.06805	1197.82708	14.86000	2.96665	13.89262	-275.34389	-136.20929	-1157.76616	Labridae	Coris	auricularis	37384088	2	AD	Passing			
10	19	Left_MAH00355.MP4	22887	Right_MAH00344.MP4	21419	28.92028	1	3.54298	103.70530	3.32703	1.25325	1424.90511	16.19249	64.23784	27.81434	382.74509	106.76302	-1368.37949	Labridae	Coris	auricularis	37384088	2	AD	Passing			
