CAAB_code,broad
35000906,Sessile invertebrates
35000905,Sessile invertebrates
35000904,Sessile invertebrates
35000903,Sessile invertebrates
35000902,Sessile invertebrates
35000901,Sessile invertebrates
35000000,Sessile invertebrates
70000901,Unscorable
72000902,Unscorable
72000901,Unscorable
82002003,Unconsolidated
82002004,Unconsolidated
82002002,Unconsolidated
82002007,Unconsolidated
82002008,Unconsolidated
82002006,Unconsolidated
82002005,Unconsolidated
82002001,Unconsolidated
82002000,Unconsolidated
81005003,Unconsolidated
81005006,Unconsolidated
81005007,Unconsolidated
81005004,Unconsolidated
81005005,Unconsolidated
81005002,Unconsolidated
81005001,Unconsolidated
81005000,Unconsolidated
81001004,Unconsolidated
81001012,Unconsolidated
81001001,Unconsolidated
81001013,Unconsolidated
81001002,Unconsolidated
81001005,Unconsolidated
81001007,Unconsolidated
81001010,Unconsolidated
81001006,Unconsolidated
81001003,Unconsolidated
81001011,Unconsolidated
81001014,Unconsolidated
81001009,Unconsolidated
81001008,Unconsolidated
81001000,Unconsolidated
81004001,Unconsolidated
81004003,Unconsolidated
81004005,Unconsolidated
81004004,Unconsolidated
81004002,Unconsolidated
81004000,Unconsolidated
81006002,Unconsolidated
81006001,Unconsolidated
81006000,Unconsolidated
81003003,Unconsolidated
81003002,Unconsolidated
81003001,Unconsolidated
81003000,Unconsolidated
81007006,Unconsolidated
81007005,Unconsolidated
81007003,Unconsolidated
81007001,Unconsolidated
81007007,Unconsolidated
81007002,Unconsolidated
81007004,Unconsolidated
81007000,Unconsolidated
81002001,Unconsolidated
81002005,Unconsolidated
81002004,Unconsolidated
81002006,Unconsolidated
81002003,Unconsolidated
81002007,Unconsolidated
81002008,Unconsolidated
81002002,Unconsolidated
81002000,Unconsolidated
81000000,Unconsolidated
19100000,Mobile invertebrates
20000908,Sessile invertebrates
20000902,Sessile invertebrates
20000903,Sessile invertebrates
20000904,Sessile invertebrates
20000901,Sessile invertebrates
20000906,Sessile invertebrates
20000907,Sessile invertebrates
20000905,Sessile invertebrates
20000000,Sessile invertebrates
11280000,Sessile invertebrates
11284000,Sessile invertebrates
11500901,Sessile invertebrates
11168901,Sessile invertebrates
11171000,Sessile invertebrates
11168902,Sessile invertebrates
11168909,Sessile invertebrates
11168911,Sessile invertebrates
11168910,Sessile invertebrates
11168903,Sessile invertebrates
11168904,Sessile invertebrates
11168905,Sessile invertebrates
11168907,Sessile invertebrates
11168906,Sessile invertebrates
11168908,Sessile invertebrates
11168919,Sessile invertebrates
11168912,Sessile invertebrates
11168913,Sessile invertebrates
11168915,Sessile invertebrates
11168914,Sessile invertebrates
11168916,Sessile invertebrates
11168920,Sessile invertebrates
11201901,Sessile invertebrates
11168918,Sessile invertebrates
11168917,Sessile invertebrates
11290000,Stony corals
11290904,Stony corals
11290912,Stony corals
11290915,Stony corals
11290910,Stony corals
11290909,Stony corals
11290908,Stony corals
11290907,Stony corals
11290906,Stony corals
11290901,Stony corals
11290903,Stony corals
11290902,Stony corals
11298000,Stony corals
11290913,Stony corals
11290905,Stony corals
11290911,Stony corals
11168000,Sessile invertebrates
11077906,Sessile invertebrates
11077907,Sessile invertebrates
11077000,Sessile invertebrates
11001000,Sessile invertebrates
11229901,Sessile invertebrates
11229902,Sessile invertebrates
11229903,Sessile invertebrates
11229000,Sessile invertebrates
11164000,Sessile invertebrates
11500000,Sessile invertebrates
27500902,Sessile invertebrates
27500901,Sessile invertebrates
27500000,Sessile invertebrates
28836000,Mobile invertebrates
28843000,Mobile invertebrates
28850000,Mobile invertebrates
28000903,Mobile invertebrates
28825903,Mobile invertebrates
28825902,Mobile invertebrates
28825901,Mobile invertebrates
28820000,Mobile invertebrates
28821000,Mobile invertebrates
28825904,Mobile invertebrates
28786000,Mobile invertebrates
28000902,Mobile invertebrates
28000901,Mobile invertebrates
27000000,Unscorable
25001901,Mobile invertebrates
25001902,Mobile invertebrates
