"","response","formula","AICc","BIC","r2.vals","r2.vals.unique","edf","edf.less.1","delta.AICc","delta.BIC","wi.AICc","wi.BIC","mbdepth","roughness","detrended","tpi","aspect","reef","cumsum.wi"
"detrended...1","total_abundance","s(detrended, k = 3, bs = ""cr"")",371.82302630721,375.363091158495,0.22284,NA,2,0,0,0,0.295,0.347,0,0,1,0,0,0,0.295
"mbdepth...2","total_abundance","s(mbdepth, k = 3, bs = ""cr"")",372.621956527622,376.162021378918,0.20319,NA,2,0,0.799,0.799,0.198,0.233,1,0,0,0,0,0,0.493
"mbdepth+reef...3","total_abundance","s(mbdepth, k = 3, bs = ""cr"") + s(reef, k = 3, bs = ""cr"")",372.971055661847,377.352517791607,0.25788,NA,3,0,1.148,1.989,0.166,0.128,1,0,0,0,0,1,0.659
"mbdepth+reef...4","species_richness","s(mbdepth, k = 3, bs = ""cr"") + s(reef, k = 3, bs = ""cr"")",178.243406642759,182.624868772537,0.19278,NA,3,0,0,0.527,0.186,0.139,1,0,0,0,0,1,0.186
"mbdepth...5","species_richness","s(mbdepth, k = 3, bs = ""cr"")",178.557438643681,182.097503494988,0.11514,NA,2,0,0.314,0,0.159,0.181,1,0,0,0,0,0,0.345
"detrended...6","species_richness","s(detrended, k = 3, bs = ""cr"")",179.741423225094,183.807849617719,0.12866,NA,2.6,0,1.498,1.71,0.088,0.077,0,0,1,0,0,0,0.433
"null","species_richness","1",180.028650772749,182.5463294749,0,NA,1,0,1.785,0.449,0.076,0.145,0,0,0,0,0,0,0.509
"aspect","species_richness","s(aspect, k = 3, bs = ""cc"")",180.052680305002,183.093216934059,0.08329,NA,2,0,1.809,0.996,0.075,0.11,0,0,0,0,1,0,0.584
"roughness","greater than Lm","s(roughness, k = 3, bs = ""cr"")",123.356374387614,128.258532834892,0.42821,NA,2.54,0,0,0,0.333,0.384,0,1,0,0,0,0,0.333
"aspect+roughness","greater than Lm","s(aspect, k = 3, bs = ""cc"") + s(roughness, k = 3, bs = ""cr"")",124.599872855683,130.1278636278,0.46196,NA,3.67,0,1.243,1.869,0.179,0.151,0,1,0,0,1,0,0.512
"mbdepth...11","greater than Lm","s(mbdepth, k = 3, bs = ""cr"")",124.911783286113,129.902321521779,0.46048,NA,2.76,0,1.555,1.644,0.153,0.169,1,0,0,0,0,0,0.665
"reef+roughness","greater than Lm","s(reef, k = 3, bs = ""cr"") + s(roughness, k = 3, bs = ""cr"")",125.220809479332,130.609400595974,0.4319,NA,3.62,0,1.864,2.351,0.131,0.118,0,1,0,0,0,1,0.796
