OpCode	TapeReader	Depth	Comment	Info5Name	Info5Value	Info6Name	Info6Value	Info7Name	Info7Value	Info8Name	Info8Value	Info9Name	Info9Value	Info10Name	Info10Value	Info11Name	Info11Value	Info12Name	Info12Value
BP_SZ_20170428_DOV	Caprice			Spare		Spare		Spare		Spare		Spare		Spare		Spare		Spare	
SIMP_FirstRock_S1_20170427_DOV	Caprice			Spare		Spare		Spare		Spare		Spare		Spare		Spare		Spare	
SIMP_Murry Reef_Ctrl2_20170428_DOV	Caprice			Spare		Spare		Spare		Spare		Spare		Spare		Spare		Spare	
SIMP_MurrayReef_SPZ_20170428_DOV	Caprice			Spare		Spare		Spare		Spare		Spare		Spare		Spare		Spare	
SIMP_PassageRock_S1_20170531_DOV	Caprice			Spare		Spare		Spare		Spare		Spare		Spare		Spare		Spare	
SIMP_Penguin Island_S2_20170427_DOV 	Caprice			Spare		Spare		Spare		Spare		Spare		Spare		Spare		Spare	
SIMP_PeronControl_S2_20170428	Caprice			Spare		Spare		Spare		Spare		Spare		Spare		Spare		Spare	
SIMP_PeronSZ_S1_20170428_DOV	Caprice			Spare		Spare		Spare		Spare		Spare		Spare		Spare		Spare	
SIMP_Seal Island SZ_S2_20170427_DOV	Caprice			Spare		Spare		Spare		Spare		Spare		Spare		Spare		Spare	
SIMP_SecondRock_S1_20170427_DOV	Caprice			Spare		Spare		Spare		Spare		Spare		Spare		Spare		Spare	
SIMP_ShoalwaterBay_S1B_20170531_DOV	Caprice			Spare		Spare		Spare		Spare		Spare		Spare		Spare		Spare	
